idx, name, x, y, Y, R, G, B
01, dark skin, 0.399166, 0.358250, 0.099574, 492, 361, 310
02, light skin, 0.386670, 0.353350, 0.345821, 808, 613, 544
03, blue sky, 0.247544, 0.267278, 0.186556, 399, 519, 644
04, foliage, 0.340801, 0.429553, 0.131423, 393, 462, 301
05, blue flower, 0.268496, 0.253649, 0.233755, 547, 541, 721
06, bluish green, 0.256526, 0.356090, 0.419934, 403, 775, 708
07, orange, 0.508758, 0.401945, 0.304116, 906, 523, 240
08, purplish blue, 0.208628, 0.182357, 0.117676, 316, 403, 698
09, moderate red, 0.468305, 0.311187, 0.189940, 808, 366, 422
10, purple, 0.296335, 0.220235, 0.064640, 411, 275, 453
11, yellow green, 0.372886, 0.492521, 0.438938, 655, 770, 307
12, orange yellow, 0.474602, 0.440489, 0.426443, 929, 667, 222
13, blue, 0.185828, 0.146338, 0.061572, 195, 297, 610
14, green, 0.297777, 0.482464, 0.230428, 304, 618, 341
15, red, 0.543696, 0.321079, 0.121972, 738, 240, 270
16, yellow, 0.448521, 0.472649, 0.586716, 958, 806, 176
17, magenta, 0.376055, 0.244522, 0.200242, 788, 375, 623
18, cyan, 0.207176, 0.265834, 0.205787, 0, 572, 697
19, white 9.5, 0.313930, 0.331472, 0.912797, 984, 986, 976
20, neutral 8, 0.311076, 0.328733, 0.589537, 815, 822, 823
21, neutral 6.5, 0.310304, 0.328350, 0.363331, 664, 673, 674
22, neutral 5, 0.311630, 0.328280, 0.191537, 512, 514, 516
23, neutral 3.5, 0.307244, 0.324690, 0.088391, 367, 373, 379
24, black 2, 0.307681, 0.323619, 0.031133, 239, 241, 246
